,SMALL LoBM LoINV,ME1 BM1 INV2,ME1 BM1 INV3,ME1 BM1 HiINV,ME1 BM2 LoINV,ME1 BM2 INV2,ME1 BM2 INV3,ME1 BM2 HiINV,ME1 BM3 LoINV,ME1 BM3 INV2,ME1 BM3 INV3,ME1 BM3 HiINV,ME1 BM4 LoINV,ME1 BM4 INV2,ME1 BM4 INV3,SMALL HiBM HiINV,BIG LoBM LoINV,ME2 BM1 INV2,ME2 BM1 INV3,ME2 BM1 HiINV,ME2 BM2 LoINV,ME2 BM2 INV2,ME2 BM2 INV3,ME2 BM2 HiINV,ME2 BM3 LoINV,ME2 BM3 INV2,ME2 BM3 INV3,ME2 BM3 HiINV,ME2 BM4 LoINV,ME2 BM4 INV2,ME2 BM4 INV3,BIG HiBM HiINV
200505    ,-4.63    ,-2.74    ,-2.07    ,-5.31    ,-1.27    ,-3.11    ,-2.97    ,-2.76    ,-6.32    ,-4.18    ,-4.17    ,-4.54    ,-4.99    ,-5.96    ,-5.17    ,-4.63    ,-1.31    ,-1.60    ,-2.05    ,-4.04    ,-3.18    ,-3.04    ,-2.11    ,-1.22    ,-1.72    ,-2.42    ,-0.66    ,-3.61    ,-3.10    ,-1.70    ,-1.72    ,-2.15
200506     ,4.68     ,2.48     ,3.06     ,3.38     ,2.47     ,3.06     ,2.27     ,3.69     ,2.24     ,2.10     ,0.87     ,2.00     ,0.65     ,2.39     ,0.70     ,0.08     ,1.20    ,-0.71     ,0.16     ,2.34     ,0.96     ,0.88    ,-0.22     ,0.14     ,2.26     ,2.40     ,0.51    ,-1.46     ,1.50     ,2.28     ,1.49    ,-1.96
200507     ,4.06     ,4.71     ,3.60     ,2.16     ,1.80     ,1.26     ,1.00     ,2.26     ,3.05     ,2.00     ,1.39     ,1.06     ,2.49     ,2.05     ,0.83     ,1.51    ,-2.43    ,-0.32     ,3.11     ,1.81     ,1.00    ,-1.13     ,1.72    ,-1.52     ,1.11     ,1.97     ,1.22    ,-2.15     ,3.15    ,-0.57    ,-0.65    ,-0.10
200508     ,5.47     ,5.60     ,0.40     ,0.94     ,4.65     ,4.04     ,3.28     ,2.92     ,2.42     ,5.10     ,3.49     ,3.63     ,4.41     ,4.46     ,3.47     ,4.79    ,14.41    ,14.66     ,5.05     ,6.83     ,7.22     ,6.87     ,8.12     ,6.75     ,4.58     ,5.76     ,7.52     ,6.57     ,4.58     ,6.50     ,6.79     ,6.56
200509     ,0.15     ,3.62    ,-1.48    ,-1.94     ,3.64     ,2.90     ,3.82     ,3.33     ,2.36     ,4.47     ,4.87     ,7.31     ,5.44     ,3.03     ,5.09     ,5.06    ,10.44     ,9.14     ,8.55     ,3.98    ,12.63     ,8.06    ,11.54     ,8.77     ,9.34     ,9.65     ,7.92     ,5.54     ,3.02     ,7.49     ,8.45    ,11.51
200510     ,1.96     ,1.81     ,0.68     ,4.18     ,2.84     ,3.11     ,1.40     ,1.46     ,1.97     ,3.69     ,0.91     ,1.93     ,1.44     ,1.39    ,-0.41     ,3.25     ,0.37     ,3.07    ,-2.53    ,-3.39    ,-0.43    ,-1.33    ,-1.67    ,-2.09    ,-1.76     ,0.84     ,1.18     ,4.28     ,0.71     ,4.06     ,5.51     ,4.35
200511     ,1.76    ,-1.16     ,3.59     ,2.87     ,5.35     ,1.75     ,4.79     ,4.19     ,2.20     ,0.98     ,3.06     ,3.85     ,2.82     ,2.41     ,1.81     ,0.12     ,7.78     ,4.29    ,-0.05     ,7.88     ,4.61     ,4.57     ,5.42     ,8.69    ,-2.28    ,-1.62     ,4.41    ,-1.45     ,4.03    ,-2.19    ,-1.74    ,-1.56
200512    ,12.51    ,10.66    ,15.07    ,19.31    ,12.22     ,9.79    ,11.86    ,14.15    ,10.15    ,12.54    ,11.59    ,15.38     ,8.71     ,9.10     ,9.91     ,9.18    ,11.37    ,12.16     ,4.07    ,19.79     ,9.49    ,11.52     ,7.26    ,10.76     ,5.84     ,9.40     ,8.82     ,8.39     ,2.50     ,5.63     ,8.02     ,9.50
200601     ,4.49     ,8.80     ,4.42    ,-0.77     ,0.59     ,5.34     ,6.98     ,5.50     ,2.70     ,2.52     ,6.19     ,6.15     ,3.92     ,4.43     ,5.24    ,10.10     ,6.85     ,3.81     ,5.25    ,-1.31     ,4.60     ,3.22     ,4.89     ,3.87     ,3.64     ,5.51     ,4.42     ,8.45     ,5.64     ,2.49     ,3.69     ,3.38
200602    ,-9.71    ,-7.76    ,-6.04    ,-7.78    ,-6.85    ,-5.02    ,-6.15    ,-5.75    ,-5.76    ,-6.48    ,-4.71    ,-3.89    ,-6.14    ,-5.13    ,-5.23    ,-5.35    ,-6.84    ,-1.15    ,-3.74    ,-6.43     ,0.08    ,-2.64     ,0.17    ,-0.76    ,-1.89     ,1.36    ,-0.57     ,0.37    ,-0.23    ,-1.35    ,-0.61     ,3.78
200603     ,3.83     ,3.24     ,4.22     ,4.15     ,2.09     ,2.59     ,3.32     ,2.47     ,1.91     ,3.18     ,2.98     ,6.82     ,1.53     ,3.26     ,0.56     ,1.58     ,1.92     ,0.71     ,3.16     ,2.92     ,4.35     ,5.07     ,3.10     ,7.19     ,0.20     ,2.53     ,3.96     ,1.49     ,2.44     ,3.54     ,2.44     ,3.08
200604     ,1.46    ,-0.33     ,1.21     ,0.19     ,0.59     ,2.60     ,4.44     ,0.26     ,2.88     ,1.79     ,1.32     ,0.64     ,0.96     ,1.10     ,1.26     ,2.25    ,-0.10     ,2.78     ,3.18    ,-1.38     ,1.66     ,3.14     ,5.42     ,4.38     ,2.19     ,3.83     ,1.17     ,2.97     ,5.14     ,2.26    ,-0.05     ,1.86
200605   ,-13.63    ,-8.67   ,-10.54   ,-11.11    ,-9.85    ,-6.20    ,-7.43    ,-7.15    ,-8.53    ,-7.10    ,-7.33   ,-10.11    ,-8.93    ,-6.43    ,-6.26    ,-5.00    ,-7.23    ,-6.95    ,-2.75    ,-6.81    ,-3.87    ,-7.84    ,-9.53    ,-9.61    ,-0.83    ,-5.89    ,-8.37    ,-8.48    ,-7.73    ,-6.27    ,-7.54    ,-7.45
200606    ,-2.81    ,-5.19    ,-1.24    ,-2.11    ,-3.29    ,-1.49    ,-4.08    ,-2.19    ,-4.38    ,-3.55    ,-3.47    ,-1.08    ,-4.87    ,-4.17    ,-4.69    ,-4.88    ,-1.14     ,2.21    ,-4.69    ,-3.54    ,-1.31    ,-0.07    ,-1.01     ,0.22    ,-1.22    ,-0.34    ,-1.63    ,-0.34    ,-1.95    ,-1.72    ,-0.78    ,-1.84
200607    ,-8.43    ,-8.58    ,-9.38   ,-11.90    ,-7.02    ,-6.95    ,-4.93    ,-7.31    ,-5.69    ,-5.19    ,-3.85    ,-4.66    ,-4.50    ,-3.22    ,-3.83    ,-5.38    ,-2.26    ,-1.49    ,-1.22    ,-8.31     ,0.43    ,-2.23     ,0.30    ,-2.26    ,-1.94    ,-0.88     ,0.98     ,2.69     ,0.80    ,-3.12     ,0.28    ,-4.27
200608     ,3.16     ,1.62     ,0.88     ,4.17     ,1.35     ,2.45     ,2.81     ,2.29     ,2.52     ,2.24     ,0.70     ,3.37    ,-0.19    ,-0.07     ,0.80    ,-1.66     ,4.44     ,0.79     ,0.41     ,2.14     ,1.58     ,3.45     ,1.55     ,3.70     ,3.70    ,-0.49    ,-1.58     ,3.26     ,1.43     ,0.98    ,-1.23     ,4.92
200609    ,-4.24    ,-3.70    ,-2.79    ,-3.50    ,-2.60    ,-2.77    ,-1.27    ,-3.31    ,-2.10    ,-2.14    ,-1.49    ,-1.77    ,-2.40    ,-2.27    ,-3.59    ,-1.17    ,-3.34    ,-2.33    ,-0.20    ,-0.04    ,-0.77    ,-0.96    ,-0.87    ,-0.55     ,0.35    ,-2.80    ,-1.47    ,-1.61    ,-1.42    ,-2.48    ,-2.49    ,-1.86
